scenario_id,scenario_label,component_type,quality_state_before,route_id,risk_row_count,cvar_model_weight_sum,residual_cvar95_weighted_sum,cvar95_weighted_sum,risk_index_weighted_sum,risk_index_max,impact_cost_mean_sum,var95_loss_max,route_tail_loss_rmb,route_cvar95_loss_rmb,route_risk_index
S001,nominal,ball_screw,A,R1,9,4.43685037,14009661.313475432,15309730.943917071,1.7708359868352883,0.75883322,11806072.556300001,14703849.2848,3157569.0287422137,3450585.3628588947,0.39912006021408564
S001,nominal,ball_screw,A,R2,9,4.45314601,17147777.978103433,18724126.08349592,1.7952901309939382,0.76295648,14458104.4127,18237829.8558,3850710.9220304755,4204696.194880867,0.4031509694410263
S001,nominal,ball_screw,A,R6,9,4.62865519,4565830.970092221,4987909.867166265,1.9957084763090973,0.65301607,4785263.991400001,5145509.8557,986427.1116925046,1077615.3466653593,0.43116378178714526
S001,nominal,ball_screw,B,R2,9,4.46765534,17060765.467577953,18620854.678643867,1.812526244920275,0.76389986,14466388.6536,18237865.7879,3818729.102674682,4167925.5138432113,0.40569965831792987
S001,nominal,ball_screw,B,R3,9,4.67675983,12795742.013084153,13973443.617083125,2.0945611666507493,0.78483458,10929685.55,13205062.0138,2736027.180827918,2987847.1687700767,0.4478658821038388
S001,nominal,ball_screw,B,R5,9,4.74602821,4905556.96911949,5364390.445484875,2.176692972008459,0.77407818,4659742.681399999,4679403.7239,1033613.1080686286,1130290.4677603832,0.4586346468447264
S001,nominal,ball_screw,B,R6,9,4.63543205,4541040.456954643,4958633.356080574,2.0025128409661694,0.65301607,4785810.0925,5145530.4211,979636.9373928462,1069724.0953150361,0.4320013365239966
S001,nominal,ball_screw,C,R3,9,4.75048622,12854927.60947776,14037790.541909963,2.192080106084346,0.78940478,10970350.851199998,13205155.1018,2706023.5550957476,2955021.8423557417,0.4614433143402205
S001,nominal,ball_screw,C,R5,9,4.8204789,4938360.630769199,5399623.799348833,2.2741128394814027,0.77747064,4690700.234200001,4679501.0366,1024454.3609078339,1120142.6064428645,0.4717607703834992
S001,nominal,ball_screw,C,R6,9,4.64950083,4543164.40774437,4960897.037100742,2.016580306518987,0.65302921,4786693.2986,5145556.8175,977129.4970914911,1066974.1158215348,0.4337197433125282
S001,nominal,ball_screw,C,R7,9,5.82600001,10751030.184392206,11735171.550197748,4.067578604181038,0.95903883,5735945.5066,6367821.117,1845353.6158494113,2014275.9234560574,0.69817689618937
S001,nominal,ball_screw,D,R6,9,4.70768944,4575878.786166539,4997420.185118688,2.071549809028463,0.65428939,4798124.5545,5145580.2379,972000.9878490496,1061544.1500148505,0.4400353582007871
S001,nominal,ball_screw,D,R7,9,5.86958329,11222341.180293003,12249840.890789809,4.156370566389909,0.96859871,5816395.1641999995,6803033.7721,1911948.536348822,2087003.5035808836,0.708120212463994
S001,nominal,base,A,R1,9,4.43503693,492403.1855712516,537342.5232163122,1.7811826725753594,0.76469118,431088.2417,434218.6314,111025.72387627258,121158.52284826683,0.4016161986221295
