scenario_id,assembly_requirement_id,compatibility_id,variable_name,variable_index,saa_probability,pair_carbon_kg,carbon_source_column,weighted_coefficient
S001,AR_CK6150_01_spindle_radial_runout,CMP000001569,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001569]",20055,0.2597184985687799,7.66594,combined_carbon_kg,1.9909864269183524
S001,AR_CK6150_01_spindle_radial_runout,CMP000001573,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001573]",20056,0.2597184985687799,9.16154,combined_carbon_kg,2.3794214133778198
S001,AR_CK6150_01_spindle_radial_runout,CMP000001575,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001575]",20057,0.2597184985687799,7.17331,combined_carbon_kg,1.8630413029684143
S001,AR_CK6150_01_spindle_radial_runout,CMP000001576,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001576]",20058,0.2597184985687799,9.51671,combined_carbon_kg,2.471665632514493
S001,AR_CK6150_01_spindle_radial_runout,CMP000001577,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001577]",20059,0.2597184985687799,9.51671,combined_carbon_kg,2.471665632514493
S001,AR_CK6150_01_spindle_radial_runout,CMP000001579,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001579]",20060,0.2597184985687799,5.52961,combined_carbon_kg,1.436142006870911
S001,AR_CK6150_01_spindle_radial_runout,CMP000001580,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001580]",20061,0.2597184985687799,9.16154,combined_carbon_kg,2.3794214133778198
S001,AR_CK6150_01_spindle_radial_runout,CMP000001581,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001581]",20062,0.2597184985687799,9.16154,combined_carbon_kg,2.3794214133778198
S001,AR_CK6150_01_spindle_radial_runout,CMP000001582,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001582]",20063,0.2597184985687799,6.80897,combined_carbon_kg,1.7684154651998651
S001,AR_CK6150_01_spindle_radial_runout,CMP000001583,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001583]",20064,0.2597184985687799,7.01139,combined_carbon_kg,1.8209876836801575
S001,AR_CK6150_01_spindle_radial_runout,CMP000001584,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001584]",20065,0.2597184985687799,9.16154,combined_carbon_kg,2.3794214133778198
S001,AR_CK6150_01_spindle_radial_runout,CMP000001587,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001587]",20066,0.2597184985687799,7.82786,combined_carbon_kg,2.0330400462066094
S001,AR_CK6150_01_spindle_radial_runout,CMP000001590,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001590]",20067,0.2597184985687799,5.20707,combined_carbon_kg,1.3523724023425365
S001,AR_CK6150_01_spindle_radial_runout,CMP000001593,"select_pair[S001,AR_CK6150_01_spindle_radial_runout,CMP000001593]",20068,0.2597184985687799,7.88218,combined_carbon_kg,2.047147955048865
