artifact_id,artifact_type,source_file,source_exists,warnings,generated_at_utc
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage2\model_summary.json,True,,2026-07-10T13:09:24.334334+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage2\instance_summary.json,True,,2026-07-10T13:09:24.334334+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage2\solution_summary.json,True,,2026-07-10T13:09:24.334334+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage2\solution_checks.json,True,,2026-07-10T13:09:24.334334+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage3\model_summary.json,True,,2026-07-10T13:09:24.334334+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage3\instance_summary.json,True,,2026-07-10T13:09:24.334334+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage3\solution_summary.json,True,,2026-07-10T13:09:24.334334+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage3\solution_checks.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage4\model_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage4\instance_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage4\solution_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage4\solution_checks.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage5\model_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage5\instance_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage5\solution_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage5\solution_checks.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage6\model_summary.json,True,,2026-07-10T13:09:24.335341+00:00
T1_stagewise_model_complexity,table,D:\File Station\Science\论文WIP\Remanufacturing\data\processed\stage6\instance_summary.json,True,,2026-07-10T13:09:24.335341+00:00
