core_id,route_class,economic_cost_rmb,environmental_score,energy_kwh,water_m3,pollutant_kg,carbon_kg,expected_output_quality,expected_residual_life_h,risk_penalty,route_success_proxy,resource_h__assembly,resource_h__cleaning,resource_h__drying,resource_h__grinding,resource_h__heat_treatment,resource_h__incoming_inspection,resource_h__inspection,resource_h__laser,resource_h__machining,resource_h__procurement,resource_h__quality_monitoring,resource_h__reliability_assessment,resource_h__scrap_handling,resource_h__testing,resource_h__waste_treatment
C000001,repair,167879.92,826.0415256000001,2620.94987,2.1013210000000004,9.812616000000002,1733.73794,0.8,20292.83237053088,0.025940291079812206,0.9740597089201878,56.4838,26.402499999999996,0.0,85.52159999999999,0.0,0.0,25.804600000000004,0.0,180.45839999999998,0.0,15.695999999999998,20.263000000000005,0.0,24.641299999999998,0.0
C000001,replace,1061242.69,26.110756400000003,93.16223000000001,0.010936999999999999,0.177604,61.71238000000001,0.96,26804.193447453952,0.0007782087323943669,0.9992217912676057,22.8334,0.0,0.0,0.0,0.0,6.8894,0.0,0.0,0.0,6.931300000000001,4.0575,0.0,0.0,10.935599999999999,0.0
C000001,reuse,12606.480000000001,26.974546500000002,86.37370000000001,0.254321,0.26822,57.894909999999996,0.6759810281690141,18148.987585915493,0.04202573222338624,0.9579742677766138,12.8576,6.7349000000000006,2.6818000000000004,0.0,0.0,0.0,3.9112999999999993,0.0,0.0,0.0,2.0084999999999997,5.1343,0.0,6.0083,0.0
C000001,scrap,0.0,3.3511046999999996,4.85694,0.013561,0.11157299999999999,3.6542099999999995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2551,0.0,0.0,0.0,0.0,0.0,1.2327,0.0,1.7091
C000011,repair,169086.83000000002,835.4355099,2647.74878,2.168607,10.101093000000002,1741.16045,0.8,19994.586595882993,0.028821455399061034,0.971178544600939,56.8213,26.7964,0.0,86.19519999999999,0.0,0.0,26.278200000000002,0.0,180.70919999999998,0.0,15.935699999999999,20.571400000000004,0.0,24.857599999999998,0.0
C000011,replace,1061366.8299999998,26.3039257,93.85134000000001,0.011036,0.17893100000000003,62.16781,0.96,26505.94767280607,0.0008646436619718321,0.9991353563380282,22.9738,0.0,0.0,0.0,0.0,6.902799999999999,0.0,0.0,0.0,6.938,4.1211,0.0,0.0,11.033600000000002,0.0
C000011,reuse,8639.999999999998,18.745775799999997,60.03876,0.177733,0.186302,40.22416,0.6382202548625086,17848.28821126761,0.052135093943819405,0.9478649060561806,8.875900000000001,4.713100000000001,1.8798,0.0,0.0,0.0,2.6946,0.0,0.0,0.0,1.3744000000000003,3.4805,0.0,4.130699999999999,0.0
C000011,scrap,0.0,6.250303499999999,9.563149999999998,0.024433000000000003,0.20062499999999997,7.20281,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5201,0.0,0.0,0.0,0.0,0.0,2.451,0.0,3.3785
C000013,replace,1060772.8,25.3727588,90.52841,0.010561999999999998,0.17254000000000003,59.97232,0.96,33174.32588876851,0.0003452357746478876,0.9996547642253522,22.2988,0.0,0.0,0.0,0.0,6.838800000000001,0.0,0.0,0.0,6.908500000000002,3.8148999999999997,0.0,0.0,10.561600000000002,0.0
C000013,reuse,22117.85,44.0820633,145.97436,0.30727899999999997,0.39636999999999994,97.39047,0.78,24518.51273492236,0.012658645070422534,0.9873413549295774,24.886200000000002,8.403799999999999,3.4426000000000005,0.0,0.0,0.0,6.722600000000001,0.0,0.0,0.0,3.5898,9.433500000000002,0.0,11.3989,0.0
C000024,repair,167190.26,819.7244949999999,2603.3591499999998,2.0469660000000003,9.577505,1731.6791,0.8,21789.041807150603,0.022695868544600935,0.9773041314553991,56.2006,26.082399999999996,0.0,85.52159999999999,0.0,0.0,25.433600000000002,0.0,180.45839999999998,0.0,15.497399999999999,20.017900000000004,0.0,24.465899999999998,0.0
C000024,replace,1061158.2699999998,25.973606300000004,92.66906000000002,0.010870999999999999,0.176687,61.38841000000001,0.96,28300.40288407368,0.0006808760563380288,0.999319123943662,22.7342,0.0,0.0,0.0,0.0,6.8804,0.0,0.0,0.0,6.9270000000000005,4.0147,0.0,0.0,10.8696,0.0
